[02/28/2022 12:34:32 PM][ INFO    ] Loading Graph Engine Extensions.
[02/28/2022 12:34:33 PM][ INFO    ] Scanning for TSL storage extension.
[02/28/2022 12:34:33 PM][ INFO    ] TSL storage extension loaded.
[02/28/2022 12:34:33 PM][ INFO    ] Scanning for MemoryCloud extensions.
[02/28/2022 12:34:33 PM][ INFO    ] No MemoryCloud extension found.
[02/28/2022 12:34:33 PM][ INFO    ] Scanning for startup tasks.
[02/28/2022 12:34:33 PM][ INFO    ] EventLoop: Starting.
[02/28/2022 12:34:33 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[02/28/2022 12:34:33 PM][ INFO    ] Initializing logging facility
[02/28/2022 12:34:33 PM][ INFO    ] Creating write-ahead log file C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_51.dat
[02/28/2022 12:34:33 PM][ INFO    ] Resetting storage.
[02/28/2022 12:34:34 PM][ INFO    ] Reset storage complete, image version = 52
[02/28/2022 12:34:34 PM][ INFO    ] Dropping write-ahead-log file C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_51.dat
[02/28/2022 12:34:34 PM][ INFO    ] Initializing logging facility
[02/28/2022 12:34:34 PM][ INFO    ] Creating write-ahead log file C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_52.dat
[02/28/2022 12:34:34 PM][ INFO    ] Saving storage to [SLOT B]
[02/28/2022 12:34:35 PM][ INFO    ] Save storage complete, image version = 53.
[02/28/2022 12:34:35 PM][ INFO    ] Creating write-ahead log file C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_53.dat
[02/28/2022 12:34:35 PM][ INFO    ] Dropping write-ahead-log file C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_52.dat
[02/28/2022 12:34:35 PM][ INFO    ] Saving cell type signatures.
[02/28/2022 12:34:35 PM][ INFO    ] Listening endpoint :5304
[02/28/2022 12:34:35 PM][ INFO    ] Waiting for client connection ...
[02/28/2022 12:34:35 PM][ INFO    ] My IPEndPoint: 192.168.0.150:5304
[02/28/2022 12:34:35 PM][ INFO    ] HTTP server listening on port 80
[02/28/2022 12:34:35 PM][ INFO    ] *****************************************************
[02/28/2022 12:34:35 PM][ INFO    ] ServerCount: 0
[02/28/2022 12:34:35 PM][ INFO    ] ProxyCount: 0
[02/28/2022 12:34:35 PM][ INFO    ] *****************************************************
[02/28/2022 12:34:35 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[02/28/2022 12:34:35 PM][ INFO    ] Scanning for auto-registered communication modules.
[02/28/2022 12:34:35 PM][ INFO    ] Checking Server-Server protocol signatures...
[02/28/2022 12:34:35 PM][ INFO    ] Working Directory: C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\
[02/28/2022 12:34:35 PM][ INFO    ] StorageRoot : C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\storage\
[02/28/2022 12:34:35 PM][ INFO    ] LogDirectory: C:\TDW\repos\N4K-NickelForAKiss\src\BTTN4KNFEv2\bin\Debug\netcoreapp3.1\trinity-log
[02/28/2022 12:34:35 PM][ INFO    ] LoggingLevel: Info
[02/28/2022 12:34:35 PM][ INFO    ] HttpPort:     80
[02/28/2022 12:34:35 PM][ INFO    ] Server 0 is successfully started.
